Location,Type1988,CityName,DistToCityKM,TotPop1988,FromBirthPct1988,ArrivedPct1988,Woj.,GG,DistanceTreblinka,DistanceRailway
Bocki,w,Bialystok,54.8411467,5915,73.7,26.3,bialostockie,0,67.46448135,12.3970347
Bransk,w,Bialystok,49.41006251,9765,78.8,21.2,bialostockie,0,53.11096877,21.949678
Bransk,m,Bialystok,46.04816535,3420,74.8,25.2,bialostockie,0,55.57931469,20.51405259
Drohiczyn,w,Bialystok,82.43384631,5598,73,27,bialostockie,0,44.52879867,21.06024434
Drohiczyn,m,Bialystok,88.73990936,2132,56.8,43.2,bialostockie,0,48.24281515,21.06024434
Dziadkowice,w,Bialystok,64.81940913,3291,69.2,30.8,bialostockie,0,59.34048367,14.13358568
Grodzisk,w,Bialystok,65.5533013,5407,75.6,24.4,bialostockie,0,47.84387756,24.46704491
Lapy,m,Bialystok,25.1691912,16698,50.3,49.7,bialostockie,0,68.48385738,2.076235262
Lapy,w,Bialystok,24.28599582,6816,73,27,bialostockie,0,69.35500611,2.076235262
Poswietne,w,Bialystok,33.91385645,4187,71.3,28.7,bialostockie,0,60.60053411,5.781451925
Siemiatycze,w,Bialystok,77.86277381,7638,69.4,30.6,bialostockie,0,58.56225022,8.712255764
Siemiatycze,m,Bialystok,82.00724478,13439,46.8,53.2,bialostockie,0,60.08242687,6.111352962
Wyszki,w,Bialystok,33.12744675,5973,66.5,33.5,bialostockie,0,67.45758274,10.57345193
Losice,w,Bialystok,105.7423799,4481,70.9,29.1,BP,1,65.82122161,4.973449409
LOSICE miasto,m,Bialystok,106.8161463,6780,47,53,BP,1,65.46042111,4.973449409
Olszanka,w,Warsaw,113.2954576,3741,76.2,23.8,BP,1,67.96980903,9.858944163
Platerow,w,Warsaw,147.2473273,5776,70.6,29.4,BP,1,62.83530056,0.113351422
Pokrzywnica,w,Warsaw,41.77478915,4903,69.4,30.6,ciechanowskie,0,68.3090873,18.44340938
Pultusk,m,Warsaw,52.2150581,17553,57.7,42.3,ciechanowskie,0,65.68836218,3.218349793
Pultusk,w,Warsaw,56.15939597,4630,65,35,ciechanowskie,0,66.98317418,3.218349793
Andrzejewo,w,Bialystok,76.10407573,5075,73.7,26.3,lomza,0,23.45088686,8.072084213
Boguty-Pianki,w,Bialystok,68.2217662,3244,67.1,32.9,lomza,0,25.87714316,8.524787239
Ciechanowiec,m,Bialystok,68.08078785,4453,66.2,33.8,lomza,0,30.44256961,21.05541604
Ciechanowiec,w,Bialystok,66.2261503,5081,76.1,23.9,lomza,0,34.68041362,21.05541604
Czyzew-Osada,w,Bialystok,64.0517253,6676,66.9,33.1,lomza,0,30.45542082,2.417070318
Jedwabne,m,Bialystok,60.50696767,1983,56.4,43.6,lomza,0,74.73635224,23.38015218
Jedwabne,w,Bialystok,57.70161365,4367,75.2,24.8,lomza,0,77.3187251,23.38015218
Klukowo,w,Bialystok,58.79734837,5205,73.2,26.8,lomza,0,36.20812175,10.7731321
Kobylin-Borzymy,w,Bialystok,34.01699859,4036,69.5,30.5,lomza,0,65.66521714,16.49963662
Kolaki Koscielne,w,Bialystok,55.50122551,2629,69.6,30.4,lomza,0,48.73877843,20.84341847
Kulesze Koscielne,w,Bialystok,45.16182613,3657,69.6,30.4,lomza,0,53.15074093,13.81173836
Lomza,w,Bialystok,70.82932912,9638,72.4,27.6,lomza,0,55.86244305,3.290190276
Lomza,m,Bialystok,73.72820402,56290,48.2,51.8,lomza,0,60.65286857,0.430537583
Maly Plock,w,Bialystok,79.96468537,5468,77.6,22.4,lomza,0,75.23908337,15.13563751
Miastkowo,w,Bialystok,90.77725283,4381,80.1,19.9,lomza,0,59.43401791,9.994848453
Nowe Piekuty,w,Bialystok,43.14898155,4438,71,29,lomza,0,50.87446274,5.383473864
Nowogrod,w,Bialystok,85.60789282,2105,71.3,28.7,lomza,0,65.90859088,12.05283698
Nowogrod,m,Bialystok,86.47613354,1693,67.4,32.6,lomza,0,67.36788082,12.05283698
Nur,w,Bialystok,75.0206241,4037,72.7,27.3,lomza,0,19.56330444,10.73306053
Perlejewo,w,Bialystok,74.75158165,3627,74.1,25.9,lomza,0,34.86432643,26.16648099
Piatnica,w,Bialystok,66.71718843,10930,64.1,35.9,lomza,0,65.78110545,8.262183437
Rutki,w,Bialystok,49.13263494,6589,58.9,41.1,lomza,0,59.69806761,25.97308431
Sniadowo,w,Bialystok,80.60536271,6094,69.3,30.7,lomza,0,48.31759026,1.528501041
Sokoly,w,Bialystok,32.34981364,6873,66.8,33.2,lomza,0,62.2870624,7.248926865
Stawiski,w,Bialystok,72.29771715,4617,79.5,20.5,lomza,0,82.55335089,22.22488371
Stawiski,m,Bialystok,72.72920927,2543,64.3,35.7,lomza,0,83.23171969,22.22488371
Szepietowo,w,Bialystok,51.81711789,7978,66.3,33.7,lomza,0,41.80498138,2.923345364
Szumowo,w,Bialystok,76.23145669,5124,72.4,27.6,lomza,0,31.35132198,16.28308511
Wizna,w,Bialystok,55.33131301,5113,77,23,lomza,0,66.88784837,19.17615481
Wysokie Mazowieckie,w,Bialystok,50.70011391,5673,71.9,28.1,lomza,0,45.02905656,7.884073691
Wysokie Mazowieckie,m,Bialystok,49.38589085,8356,49.9,50.1,lomza,0,45.68072269,7.884073691
Zambrow,w,Bialystok,67.05357489,9165,69.4,30.6,lomza,0,41.13912606,14.00466794
Zambrow,m,Bialystok,64.46451398,21554,50,50,lomza,0,41.14956903,17.50744209
Zareby Koscielne,w,Bialystok,79.21737449,6101,68.6,31.4,lomza,0,15.95374974,1.779933499
Zawady,w,Bialystok,40.79921493,3223,74,26,lomza,0,69.05761988,24.84644924
Zbojna,w,Bialystok,95.31301255,4556,74,26,lomza,0,73.39089917,21.65876738
Baranowo,w,Warsaw,108.2726613,7265,80.6,31.5,ostroleka,0,82.21392142,5.325775618
Branszczyk,w,Warsaw,63.07420696,8615,73.2,22.9,ostroleka,1,30.97490118,7.597455482
Brok,m,Warsaw,77.01329275,1847,68.5,31.5,ostroleka,1,16.17608276,10.51817964
Brok,w,Warsaw,77.23175456,997,77.1,23.3,ostroleka,1,18.4907222,10.51817964
Czerwin,w,Warsaw,95.80820325,5954,70,24.6,ostroleka,1,41.6267386,4.908764614
Czerwonka,w,Warsaw,75.76090294,2969,75.1,18.9,ostroleka,0,64.54194619,22.11284177
Dabrowka,w,Warsaw,33.73550541,6297,81.1,26.3,ostroleka,0,55.46910978,10.98512608
Dlugosiodlo,w,Warsaw,71.56676282,7925,72.8,21.5,ostroleka,1,36.08223703,1.803265771
Goworowo,w,Warsaw,83.00957212,9614,73.7,27.7,ostroleka,1,46.40036648,2.773319498
Kadzidlo,w,Bialystok,116.2759513,10322,72.3,28.4,ostroleka,0,80.29904704,17.95194039
Klembow,w,Warsaw,29.43839654,8120,67,24.5,ostroleka,0,55.05729678,2.411573851
Krasnosielc,w,Warsaw,92.81084028,7141,71.6,19.7,ostroleka,0,76.46157782,9.149556412
Lelis,w,Bialystok,106.8183256,7420,80.3,47,ostroleka,0,68.26307912,10.67989538
Makow Mazowiecki,m,Warsaw,71.07058556,9853,53,47,ostroleka,0,69.65461034,28.44406732
Malkinia Gorna,w,Warsaw,85.83075834,12703,68.2,26.6,ostroleka,1,9.022433782,1.560833828
Obryte,w,Warsaw,57.69074723,5032,73.4,54.2,ostroleka,0,56.51071957,18.02235502
Olszewo-Borki,w,Warsaw,98.56499714,7447,70.2,39.2,ostroleka,0,65.65181016,0.688571314
Ostroleka,m,Warsaw,102.9716744,47944,45.8,54.2,ostroleka,1,59.70642107,2.474515152
Ostrow Mazowiecka,m,Warsaw,87.69495515,20135,60.8,39.2,ostroleka,1,22.95022052,1.9894469
Ostrow Mazowiecka,w,Warsaw,86.70124829,13622,68.4,48.7,ostroleka,1,24.50941538,2.121661164
Ploniawy Bramura,w,Warsaw,82.9560779,6541,66.9,27.1,ostroleka,0,76.47388589,20.09114213
Rozan,m,Warsaw,78.0604869,2756,46.5,53.5,ostroleka,0,52.67613557,13.02178213
Rozan,w,Warsaw,78.20087309,3791,69.1,24.7,ostroleka,0,54.50962398,13.02178213
Rzasnik,w,Warsaw,59.39089336,6590,75.3,30.8,ostroleka,0,45.695229,7.32370895
Rzekun,w,Warsaw,100.8788827,8110,64.6,21.8,ostroleka,0,55.18281327,0.674378424
