woj46,powiat46,name46,Areakm2,distRailway48,GG,Note,type46,ogolem,mezczyzni,Over59,shareMen,name49,powiat49,woj49,ID2,DistTreblinka
warszawskie,Wegrow,Prostyn,65.8,3,1,,w,4234,1989,305,0.46976854,Prostyn,Wegrowski,Warszawskie,W338,5.691357792
warszawskie,Sokolow,Chruszczowka,103.5,6,1,,w,5295,2552,440,0.481964117,Chruszczewka,Sokolowski,Warszawskie,W293,8.263336491
warszawskie,Sokolow,Kossow,124.5,1,1,,w,7900,3754,685,0.475189873,Kosow,Sokolowski,Warszawskie,W295,9.610478319
warszawskie,Wegrow,Stoczek,77.7,7,1,,w,5825,2760,418,0.473819742,Stoczek,Wegrowski,Warszawskie,W336,10.79019268
warszawskie,Wegrow,Sadowne,115.5,3,1,,w,6237,2905,541,0.465768799,Sadowne,Wegrowski,Warszawskie,W337,10.86596028
warszawskie,Sokolow,Olszew,69.8,6,1,,w,3182,1505,353,0.472972973,Olszew,Sokolowski,Warszawskie,W297,12.39020897
warszawskie,Ostrow,Orlo,105.7,1,1,,w,7319,3504,505,0.478753928,Orlo,Ostrowski,Warszawskie,W161,12.75575344
warszawskie,Wegrow,Miedzna,127.3,6,1,,w,6016,2808,528,0.466755319,Miedzna,Wegrowski,Warszawskie,W335,13.1150783
warszawskie,Ostrow,Brok,18.3,16,1,,m,2351,1114,205,0.473840919,Brok m.,Ostrowski,Warszawskie,W164,14.16542578
warszawskie,Wegrow,Stara Wies,84.2,18,1,,w,5456,2564,479,0.469941349,Stara-Wies,Wegrowski,Warszawskie,W333,15.6627144
warszawskie,Ostrow,Zareby Koscielne,99.1,3,0,,w,5658,2612,521,0.461647225,Zareby Koscielne,Ostrowski,Warszawskie,W158,16.76736493
warszawskie,Wegrow,Lochow,169.2,0,1,,w,10757,4929,859,0.458213256,Lochow,Wegrowski,Warszawskie,W344,20.14431184
warszawskie,Sokolow,Sterdyn,199.1,14,1,,w,10523,4942,1049,0.469637936,Sterdyn,Sokolowski,Warszawskie,W296,20.40671007
warszawskie,Ostrow,Ostrow Mazowiecka,61.5,2,1,,m,12304,5513,975,0.44806567,Ostrow Mazowiecka m.,Ostrowski,Warszawskie,W167,21.17012891
warszawskie,Ostrow,Poreba,179.7,12,1,,w,6239,2942,417,0.471549928,Poreba,Ostrowski,Warszawskie,W163,21.33575506
warszawskie,Wegrow,Korytnica,79.2,22,1,,w,4480,2089,386,0.466294643,Korytnica,Wegrowski,Warszawskie,W340,22.77218563
warszawskie,Wegrow,Wegrow,34.5,16,1,,m,5185,2288,401,0.441272903,Wegrow m.,Wegrowski,Warszawskie,W334,23.34649571
warszawskie,Wegrow,Jaczew,55.9,25,1,,w,3353,1645,292,0.490605428,Jaczew,Wegrowski,Warszawskie,W341,23.44750067
warszawskie,Ostrow,Szulborze-Koty,100.3,6,0,,w,5634,2800,552,0.496982606,Szulborze-Koty,Ostrowski,Warszawskie,W157,23.83352657
warszawskie,Ostrow,Jasienica,147.8,10,0,,w,6330,3014,534,0.47614534,Jasienica,Ostrowski,Warszawskie,W160,23.94126507
warszawskie,Ostrow,Nur,68.3,16,0,,w,4559,2153,482,0.472252687,Nur,Ostrowski,Warszawskie,W155,25.71172825
warszawskie,Sokolow,Sabnie,101.2,13,1,,w,5972,2824,575,0.472873409,Sabnie,Sokolowski,Warszawskie,W288,26.17749623
