Woj1931,Name1931,Distance to Treblinka,GG,Type,Powiat1931,Eligible1928,Valid1928,BlokRzad,PPS,PSL,BlockMniejsz,Endecja
Lublin,Prostyn,5.35,1,w,Wegrow,1881,1406,285,135,465,8,446
Lublin,Kossow,7.4,1,w,Sokolow,4347,3690,243,159,1519,189,1032
Lublin,Olszew,10.19,1,w,Sokolow,1694,1540,258,24,148,7,720
Lublin,Chruszczowka (Chruszczewka Wloscianska),10.85,1,w,Sokolow,2521,2213,354,5,396,9,760
Bialystok,Orlo,13.01,1,w,Ostrow,3413,3145,537,496,1332,50,650
Lublin,Sadowne,14.11,1,w,Wegrow,3668,3027,371,159,1520,456,464
Lublin,Stoczek,14.11,1,w,Wegrow,3396,2651,249,80,1633,108,217
Bialystok,Zareby Koscielne,14.76,0,w,Ostrow,3623,2966,562,688,296,300,510
Bialystok,Brok,15.74,1,m,Ostrow,1494,1191,104,141,634,131,43
Bialystok,Szulborze-Koty,17.8,0,w,Ostrow,2527,2029,382,175,121,5,826
Lublin,Sterdyn,17.8,1,w,Sokolow,5625,4961,413,684,1900,41,1234
Bialystok,Nur,18.41,0,w,Ostrow,2370,1873,362,57,665,43,660
Lublin,Miedzna,18.65,1,w,Wegrow,2918,2500,562,142,954,1,319
Bialystok,Jasienica,19.44,1,w,Ostrow,3122,2503,191,73,1303,250,616
Lublin,Stara Wies,20.76,1,w,Wegrow,2855,2582,223,318,1120,13,101
Bialystok,Warcholy,20.91,1,w,Ostrow,2331,1960,677,5,190,55,889
Bialystok,Ostrow Mazowicka,21.77,1,m,Ostrow,8647,7238,1153,1950,487,1361,997
Lublin,Sabnie,22.71,1,w,Sokolow,2783,2537,165,313,813,0,760
Lublin,Jaczew,24.42,1,w,Wegrow,1696,1293,317,6,97,9,768
Lublin,Borze,24.49,1,w,Wegrow,2008,1438,350,24,307,1,649
Bialystok,Poreba,24.79,1,w,Ostrow,2838,2576,95,59,1994,37,309
Bialystok,Boguty,25.31,0,w,Ostrow,2219,1891,346,71,7,8,1357
Bialystok,Komorowo,25.97,1,w,Ostrow,5905,4935,384,512,3182,24,735
Lublin,Wegrow,26.07,1,m,Wegrow,4565,3792,1124,358,122,259,446
Lublin,Grochow,26.3,1,w,Sokolow,1813,1558,154,10,934,24,29
Lublin,Lochow,27.4,1,w,Wegrow,5037,4035,547,349,1718,88,1168
Lublin,Korytnica,27.88,1,w,Wegrow,2255,1865,624,27,461,5,476
Lublin,Rucha,28.35,,w,Wegrow,2975,2524,372,540,251,2,406
Lublin,Sokolow,28.37,1,m,Sokolow,4761,3726,1341,163,239,150,1034
Bialystok,Branszczyk,31.38,1,w,Ostrow,3697,2867,410,154,1384,33,811
